2018-03-20 07:23:24,729[ost-startStop-2]  [INFO ] [o.e.c.a.s.server.SystemManager 92]   - Preparing system to shutdown
2018-03-20 07:23:24,744[ost-startStop-2]  [INFO ] [o.e.c.a.s.s.ServiceTerminator 46]    - Shutting down 'workspace' service
2018-03-20 07:23:24,748[ost-startStop-2]  [INFO ] [.e.c.a.w.s.WorkspaceSharedPool 115]  - Shutdown workspace threads pool, wait 30s to stop normally
2018-03-20 07:23:24,748[ost-startStop-2]  [INFO ] [.e.c.a.w.s.WorkspaceSharedPool 127]  - Workspace threads pool is terminated
2018-03-20 07:23:24,748[ost-startStop-2]  [INFO ] [o.e.c.a.s.s.ServiceTerminator 55]    - Service 'workspace' is shut down
2018-03-20 07:23:24,749[ost-startStop-2]  [INFO ] [o.e.c.a.s.server.SystemManager 99]   - System is ready to shutdown
2018-03-20 07:23:24,751[ost-startStop-2]  [INFO ] [o.e.c.a.core.util.FileCleaner 80]    - File cleaner is stopped
2018-03-20 07:24:01,699[ost-startStop-1]  [INFO ] [.e.c.c.d.JNDIDataSourceFactory 59]   - This=org.eclipse.che.core.db.h2.H2SQLJndiDataSourceFactory@6f138049 obj=ResourceRef[className=javax.sql.DataSource,factoryClassLocation=null,factoryClassName=org.apache.naming.factory.ResourceFactory,{type=scope,content=Shareable},{type=auth,content=Container},{type=singleton,content=true},{type=factory,content=org.eclipse.che.api.CommonJndiDataSourceFactory}] name=che Context=org.apache.naming.NamingContext@7992bfe1 environment={}
2018-03-20 07:24:05,979[ost-startStop-1]  [INFO ] [o.f.c.i.d.DbSupportFactory 44]       - Database: jdbc:h2:che (H2 1.4)
2018-03-20 07:24:06,030[ost-startStop-1]  [INFO ] [o.f.c.i.util.VersionPrinter 44]      - Flyway 4.2.0 by Boxfuse
2018-03-20 07:24:06,031[ost-startStop-1]  [INFO ] [o.f.c.i.d.DbSupportFactory 44]       - Database: jdbc:h2:che (H2 1.4)
2018-03-20 07:24:06,069[ost-startStop-1]  [INFO ] [i.f.CustomSqlMigrationResolver 157]  - Searching for sql scripts in locations [classpath:che-schema]
2018-03-20 07:24:06,143[ost-startStop-1]  [INFO ] [o.f.c.i.command.DbValidate 44]       - Successfully validated 27 migrations (execution time 00:00.075s)
2018-03-20 07:24:06,167[ost-startStop-1]  [INFO ] [o.f.c.i.command.DbMigrate 44]        - Current version of schema "PUBLIC": 6.0.0.12
2018-03-20 07:24:06,171[ost-startStop-1]  [INFO ] [o.f.c.i.command.DbMigrate 44]        - Schema "PUBLIC" is up to date. No migration necessary.
2018-03-20 07:24:08,173[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.terminal:1.0.0' is already in the registry.
2018-03-20 07:24:08,176[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.git-credentials:1.0.0' is already in the registry.
2018-03-20 07:24:08,180[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ws-agent:1.0.1' is already in the registry.
2018-03-20 07:24:08,183[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.terminal:1.0.1' is already in the registry.
2018-03-20 07:24:08,187[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ws-agent:1.0.0' is already in the registry.
2018-03-20 07:24:08,189[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ls.js-ts:1.0.1' is already in the registry.
2018-03-20 07:24:08,192[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ssh:1.0.0' is already in the registry.
2018-03-20 07:24:08,194[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ls.php:2.0.1' is already in the registry.
2018-03-20 07:24:08,198[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.exec:1.0.0' is already in the registry.
2018-03-20 07:24:08,201[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.exec:1.0.1' is already in the registry.
2018-03-20 07:24:08,204[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ls.python:1.0.3' is already in the registry.
2018-03-20 07:24:08,207[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ws-agent:1.0.2' is already in the registry.
2018-03-20 07:24:08,210[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.unison:1.0.0' is already in the registry.
2018-03-20 07:24:08,212[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ls.json:1.0.1' is already in the registry.
2018-03-20 07:24:08,215[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ws-agent:1.0.3' is already in the registry.
2018-03-20 07:24:08,217[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ls.yaml:1.0.0' is already in the registry.
2018-03-20 07:24:08,220[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.test.ls:1.0.0' is already in the registry.
2018-03-20 07:24:08,223[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ls.csharp:1.0.1' is already in the registry.
2018-03-20 07:24:08,226[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ls.camel:1.0.0' is already in the registry.
2018-03-20 07:24:08,512[ost-startStop-1]  [INFO ] [.i.d.l.p.LocalProjectsMigrator 49]   - Starting migration of workspace project files
