2018-03-25 09:11:37,228[ost-startStop-1]  [INFO ] [.e.c.c.d.JNDIDataSourceFactory 59]   - This=org.eclipse.che.core.db.h2.H2SQLJndiDataSourceFactory@59960fdb obj=ResourceRef[className=javax.sql.DataSource,factoryClassLocation=null,factoryClassName=org.apache.naming.factory.ResourceFactory,{type=scope,content=Shareable},{type=auth,content=Container},{type=singleton,content=true},{type=factory,content=org.eclipse.che.api.CommonJndiDataSourceFactory}] name=che Context=org.apache.naming.NamingContext@a31b235 environment={}
2018-03-25 09:11:39,626[ost-startStop-1]  [INFO ] [o.f.c.i.d.DbSupportFactory 44]       - Database: jdbc:h2:che (H2 1.4)
2018-03-25 09:11:39,669[ost-startStop-1]  [INFO ] [o.f.c.i.util.VersionPrinter 44]      - Flyway 4.2.0 by Boxfuse
2018-03-25 09:11:39,670[ost-startStop-1]  [INFO ] [o.f.c.i.d.DbSupportFactory 44]       - Database: jdbc:h2:che (H2 1.4)
2018-03-25 09:11:39,698[ost-startStop-1]  [INFO ] [i.f.CustomSqlMigrationResolver 157]  - Searching for sql scripts in locations [classpath:che-schema]
2018-03-25 09:11:39,748[ost-startStop-1]  [INFO ] [o.f.c.i.command.DbValidate 44]       - Successfully validated 27 migrations (execution time 00:00.051s)
2018-03-25 09:11:39,761[ost-startStop-1]  [INFO ] [o.f.c.i.command.DbMigrate 44]        - Current version of schema "PUBLIC": 6.0.0.12
2018-03-25 09:11:39,764[ost-startStop-1]  [INFO ] [o.f.c.i.command.DbMigrate 44]        - Schema "PUBLIC" is up to date. No migration necessary.
2018-03-25 09:11:41,072[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.terminal:1.0.0' is already in the registry.
2018-03-25 09:11:41,075[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.git-credentials:1.0.0' is already in the registry.
2018-03-25 09:11:41,079[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ws-agent:1.0.1' is already in the registry.
2018-03-25 09:11:41,082[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.terminal:1.0.1' is already in the registry.
2018-03-25 09:11:41,088[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ws-agent:1.0.0' is already in the registry.
2018-03-25 09:11:41,091[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ls.js-ts:1.0.1' is already in the registry.
2018-03-25 09:11:41,094[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ssh:1.0.0' is already in the registry.
2018-03-25 09:11:41,097[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ls.php:2.0.1' is already in the registry.
2018-03-25 09:11:41,101[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.exec:1.0.0' is already in the registry.
2018-03-25 09:11:41,105[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.exec:1.0.1' is already in the registry.
2018-03-25 09:11:41,108[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ls.python:1.0.3' is already in the registry.
2018-03-25 09:11:41,112[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ws-agent:1.0.2' is already in the registry.
2018-03-25 09:11:41,114[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.unison:1.0.0' is already in the registry.
2018-03-25 09:11:41,117[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ls.json:1.0.1' is already in the registry.
2018-03-25 09:11:41,121[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ws-agent:1.0.3' is already in the registry.
2018-03-25 09:11:41,123[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ls.yaml:1.0.0' is already in the registry.
2018-03-25 09:11:41,125[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.test.ls:1.0.0' is already in the registry.
2018-03-25 09:11:41,128[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ls.csharp:1.0.1' is already in the registry.
2018-03-25 09:11:41,130[ost-startStop-1]  [INFO ] [a.i.s.i.LocalInstallerRegistry 70]   - Latest version of installer 'org.eclipse.che.ls.camel:1.0.0' is already in the registry.
2018-03-25 09:11:41,450[ost-startStop-1]  [INFO ] [.i.d.l.p.LocalProjectsMigrator 49]   - Starting migration of workspace project files
2018-03-25 09:11:41,501[ost-startStop-1]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 113]   - Configured factories for environments: '[compose, dockerimage, dockerfile]'
2018-03-25 09:11:41,502[ost-startStop-1]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 114]   - Registered infrastructure 'docker'
2018-03-25 09:11:41,624[ost-startStop-1]  [INFO ] [.c.i.d.c.DockerRegistryChecker 48]   - Probing registry 'http://localhost:5000'
2018-03-25 09:11:41,637[ost-startStop-1]  [WARN ] [.c.i.d.c.DockerRegistryChecker 58]   - Docker registry http://localhost:5000 is not available, which means that you won't be able to save snapshots of your workspaces.
How to configure registry?
